Website,Password
www.site1.com,m4n25{rX]+9XzJ(
www.site2.com,123123
www.site3.com,r.DwO_1mq.0&s
www.site4.com,"FcAAH]""'L1mAS^?>"
www.site5.com,abc123
www.site6.com,password1
www.site7.com,o}IUb%2>J*h.J!
www.site8.com,qwerty
www.site9.com,0M1>H&<;B0$TEj]-
www.site10.com,$M^3m7Im!O)*nC
www.site11.com,password
www.site12.com,i<$|;4<MOHM>
www.site13.com,123123
www.site14.com,#4)p.B)Q$g3-
www.site15.com,8SZD&^7*.p$q?XE
www.site16.com,ZI<x?;l~k>P5OX
www.site17.com,111111
www.site18.com,password
www.site19.com,4wfPor}#{n2g6Crw
www.site20.com,_xte!R]y>.`}
www.site21.com,"?n+M<@|""q%(*\UH"
www.site22.com,"xzg,WV^UH4pRN"
www.site23.com,abc123
www.site24.com,welcome
www.site25.com,"C1VW;@Ih""6o#$n"
www.site26.com,admin
www.site27.com,123456
www.site28.com,"pXU`V""OmaW_iz^"
www.site29.com,%PbS-oZsV>V2^6
www.site30.com,welcome
www.site31.com,123456
www.site32.com,%]Dxhd>(u0`o3Pw
www.site33.com,abc123
www.site34.com,"c'Bo\Jclq]""<"
www.site35.com,111111
www.site36.com,]Af)A{Mlw8-e1(M
www.site37.com,"w$UPVFX>Mh,M<Lp]"
www.site38.com,"ABY\D""qg_BzN"
www.site39.com,ZjQ6Jb)[!X}Q:
www.site40.com,"""wR\M=}rVI=<#R"
www.site41.com,~P*D6g9iVCXZ'Ot
www.site42.com,",=RJ<JL75/an"
www.site43.com,123456
www.site44.com,NKp?.xcd]?S6
www.site45.com,password
www.site46.com,)OuMw(isXkbiS
www.site47.com,/&FY@Z+:Y@bQ^D
www.site48.com,Ue6Il'tkf\zlLBQP
www.site49.com,qwerty
www.site50.com,?J;_C>I8[R|.
